NumeroIdentificacion,NombrePrestador,NaturalezaJuridica,ESE,DepartamentoPrestador,MunicipioCode,MunicipioPrestador,CantMunicipios,CantSedes,ACTIVOS,RankActivos,PASIVOS,PATRIMONIO,INGRESOS,RankIngresos,GASTOS,COSTOS,UTILIDADES,PERIODO,MargenNeto%
800225057,AYUDAS DIAGNOSTICAS SURA S.A.S,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,34,108,410980000000,45,244681000000,166298000000,672081000000,20,226294679943,424613000000,21173320057,2023,"3,15"
900277244,HELPHARMA SAS,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,6,7,213896000000,107,139350000000,74546103224,667559000000,21,67389786041,577533000000,22636545343,2023,"3,39"
900958564,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.,Pública,SI,BOGOTÁ D.C,11001,BOGOTÁ,1,24,855827727359,13,399309773224,456517954135,664322530646,22,107632908634,450767021686,105922600326,2023,"15,94"
900210981,CORPORACIÓN HOSPITALARIA JUAN CIUDAD,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,2,783582000000,16,291324000000,492258000000,658400000000,23,88336305273,539697000000,30367694727,2023,"4,61"
899999092,INSTITUTO NACIONAL DE CANCEROLOGIA,Pública,SI,BOGOTÁ D.C,11001,BOGOTÁ,1,1,695489214800,20,73288651888,622200562912,651397557793,24,64560256630,409239003786,177598297377,2023,"27,26"
900219120,VIVA 1A IPS SA,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,39,96,335252000000,68,255077000000,80175172246,623300000000,25,245001173366,347960000000,30338826634,2023,"4,87"
890303461,"HOSPITAL UNIVERSITARIO DEL VALLE ""EVARISTO GARCIA"" E.S.E.",Pública,SI,VALLE DEL CAUCA,76001,CALI,1,1,1168328812773,6,299120009167,869208803606,589160358522,26,133879561317,356574686242,98706110963,2023,"16,75"
900971006,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E,Pública,SI,BOGOTÁ D.C,11001,BOGOTÁ,1,26,697457615089,19,202792841458,494664773631,575799580391,27,122037380954,508570553247,-54808353811,2023,"-9,52"
860015536,HOSPITAL UNIVERSITARIO SAN IGNACIO,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,7,366807000000,57,247298000000,119510000000,571071000000,28,75186159532,496295000000,-409770047,2023,"-0,07"
900959048,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E,Pública,SI,BOGOTÁ D.C,11001,BOGOTÁ,1,46,488835429102,39,199956445803,288878983298,551296112658,29,100140352022,457190254097,-6034493461,2023,"-1,09"
890900518,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,1,409845000000,47,205633000000,204212000000,547707000000,30,142449474550,386120000000,19137525450,2023,"3,49"
800067065,PROMOTORA MEDICA LAS AMERICAS S.A,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,3,9,857745000000,12,562910000000,294835000000,528183000000,31,140352940895,370076000000,17754059105,2023,"3,36"
860005114,MESSER COLOMBIA S.A.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,9,11,489446000000,38,186539000000,302907000000,525268000000,32,159220701130,311013000000,55034298870,2023,"10,48"
901041691,CENTROS MEDICOS COLSANITAS S.A.S,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,32,87,187919000000,117,152851000000,35067869362,520912000000,33,70225186245,446635000000,4052080014,2023,"0,78"
890300513,CLINICA DE OCCIDENTE,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,7,519898000000,33,274199000000,245700000000,511107000000,34,122191314700,330520000000,58395685300,2023,"11,43"
811016192,HOSPITAL ALMA MÁTER DE ANTIOQUIA,Mixta,NO,ANTIOQUIA,05001,MEDELLÍN,1,4,365388000000,58,355573000000,9815477197,494340000000,35,111188572909,388820000000,-5668572909,2023,"-1,15"
900098550,OFFIMEDICAS S.A.,Privada,NO,SANTANDER,68001,BUCARAMANGA,1,1,270471000000,88,200514000000,69956112163,485880000000,36,62860507117,407158000000,15862046012,2023,"3,26"
830005028,ADMINISTRADORA COUNTRY S.A.S,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,7,242422000000,94,142002000000,100420000000,482792000000,37,52550000000,329822000000,100420000000,2023,"20,8"
899999017,SOCIEDAD DE CIRUGIA DE BOGOTA HOSPITAL DE SAN JOSE,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,1,332923000000,69,143768000000,189155000000,479404000000,38,88225864359,376720000000,14458135641,2023,"3,02"
900959051,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E,Pública,SI,BOGOTÁ D.C,11001,BOGOTÁ,1,21,956188810564,8,673491051368,282697759195,469976477291,39,83587311043,441031674475,-54642508228,2023,"-11,63"
830007355,FRESENIUS MEDICAL CARE COLOMBIA S.A.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,29,43,258117000000,90,117168000000,140949000000,447818000000,40,186635893347,249564000000,11618106653,2023,"2,59"
800185449,AVIDANTI SAS,Privada,NO,CALDAS,17001,MANIZALES,3,3,1211590000000,4,501666000000,709925000000,441917000000,41,145546550223,247603000000,48767449777,2023,"11,04"
800058016,EMPRESA SOCIAL DEL ESTADO METROSALUD,Pública,SI,ANTIOQUIA,05001,MEDELLÍN,1,54,661559957498,21,277461847783,384098109715,417560916533,42,47165758005,397927461434,-27532302906,2023,"-6,59"
900033371,SUMIMEDICAL S.A.S,Privada,NO,ANTIOQUIA,05360,ITAGUI,14,18,178296000000,123,88726395564,89569908917,416371000000,43,37365814177,376109000000,2895669417,2023,"0,7"
800149453,CPO S.A.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,6,13,310659000000,75,135548000000,175111000000,415119000000,44,95455847710,245556000000,74107152290,2023,"17,85"
901153925,CLINICA NUEVA EL LAGO S.A.S.,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,1,153390000000,147,111669000000,41721230188,404370000000,45,221980254245,163954000000,18435745755,2023,"4,56"
890900841,CAJA DE COMPENSACION FAMILIAR DE ANTIOQUIA COMFAMA,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,23,58,360872000000,60,163455000000,197417000000,403168000000,46,35133769490,345812000000,22221425408,2023,"5,51170365902056"
892000501,HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO E.S.E.,Pública,SI,META,50001,VILLAVICENCIO,1,1,287459799146,82,78944718064,208515081081,391831862403,47,180930906710,182408785853,28492169840,2023,"7,27"
860006656,FUNDACION ABOOD SHAIO,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,2,630980000000,23,78967677472,552012000000,388080000000,48,83063519234,271966000000,33050480766,2023,"8,52"
805011262,RTS S.A.S,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,32,44,286484000000,83,146107000000,140377000000,385413000000,49,101246064241,289619000000,-5452257501,2023,"-1,41"
900291018,CLINICA LOS NOGALES SAS,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,1,355556000000,62,131815000000,223741000000,379693000000,50,47637086649,272289000000,59766913351,2023,"15,74"
899999123,FUNDACION HOSPITAL DE LA MISERICORDIA,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,2,783324000000,17,62193580499,721130000000,378694000000,51,80210414417,203021000000,95462585583,2023,"25,21"
900006037,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE SANTANDER,Pública,SI,SANTANDER,68001,BUCARAMANGA,1,1,583692582372,27,34734500942,548958081430,368080844420,52,82516539159,241078541662,44485763599,2023,"12,09"
891180268,E.S.E. HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO DE NEIVA,Pública,SI,HUILA,41001,NEIVA,1,2,526199754592,32,85246699176,440953055416,368035332008,53,90263118232,221474966030,56297247746,2023,"15,3"
900532504,DAVITA S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,20,29,343990000000,67,198551000000,145439000000,350406000000,54,84021347488,252161000000,14223087327,2023,"4,06"
800014918,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,Pública,SI,NORTE DE SANTANDER,54001,CÚCUTA,1,1,570426700796,29,90089644135,480337056661,348670746375,55,129507913748,215802878756,3359953871,2023,"0,96"
890500675,COMFAORIENTE I.P.S.,Privada,NO,NORTE DE SANTANDER,54001,CÚCUTA,1,2,66607564287,323,58999618932,7607945355,346041000000,56,22603584378,323284000000,153260089,2023,"0,04"
900240018,LOS COMUNEROS HOSPITAL UNIVERSITARIO DE BUCARAMANGA,Privada,NO,SANTANDER,68001,BUCARAMANGA,1,1,170360000000,131,129434000000,40926305473,344671000000,57,168602380183,164856000000,11211619817,2023,"3,25"
900771349,CLINICA DESA CALI,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,1,165510000000,135,135844000000,29666429979,342527000000,58,195279072809,131672000000,15575927191,2023,"4,55"
900342064,SOCIEDAD COMERCIALIZADORA DE INSUMOS Y SERVICIOS MÉDICOS S.A.S,Privada,NO,CALDAS,17001,MANIZALES,3,9,396652000000,51,239317000000,157335000000,341622000000,59,45298231870,294008000000,2316060379,2023,"0,68"
891580002,HOSPITAL UNIVERSITARIO SAN JOSE DE POPAYAN E.S.E.,Pública,SI,CAUCA,19001,POPAYÁN,1,1,398762221675,50,61829612701,336932608974,338717123379,60,82920171357,241994302750,13802649272,2023,"4,07"
801000713,ONCOLOGOS DEL OCCIDENTE S.A.S.,Privada,NO,CALDAS,17001,MANIZALES,5,10,602210000000,26,192536000000,409674000000,334275000000,61,64798722257,227836000000,41640277743,2023,"12,46"
811007601,EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,10,10,242489000000,93,56958108625,185531000000,333413000000,62,134144745429,159458000000,39810254571,2023,"11,94"
891800231,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN RAFAEL DE TUNJA,Pública,SI,BOYACÁ,15001,TUNJA,1,3,370944774177,56,72419596875,298525177302,332863537283,63,45662263310,213395822155,73805451818,2023,"22,17"
890939936,SOCIEDAD MÉDICA RIONEGRO S.A. SOMER S.A.,Privada,NO,ANTIOQUIA,05615,RIONEGRO,1,5,384055000000,53,192560000000,191494000000,324982000000,64,55969347937,249345000000,19668468589,2023,"6,05"
800223206,BIENESTAR IPS S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,25,58,264846000000,89,181693000000,83152353465,323873000000,65,68196377256,250822000000,4854695056,2023,"1,5"
899999032,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,Pública,SI,BOGOTÁ D.C,11001,BOGOTÁ,4,5,406923589956,49,71524734318,335398855637,320470716973,66,50016729756,250452530747,20001456470,2023,"6,24"
900470642,MEDICAL DUARTE ZF S.A.S,Privada,NO,NORTE DE SANTANDER,54001,CÚCUTA,1,1,329528000000,70,51884612466,277643000000,318716000000,67,44857000000,173184000000,100675000000,2023,"31,59"
830507718,CLINICA MEDICAL SAS,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,6,277239000000,86,227341000000,49897925409,317886000000,68,156251156290,143981000000,17653843710,2023,"5,55"
901139193,MIRED BARRANQUILLA IPS S.A.S.,Mixta,NO,ATLÁNTICO,08001,BARRANQUILLA,1,39,163575000000,137,49186896524,114388000000,312935000000,69,20807078888,270310000000,21817900729,2023,"6,97"
900699359,NEUROMEDICA SAS,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,9,14,93577820425,243,75408128474,18169691951,310755000000,70,54875639950,254404000000,1474986758,2023,"0,47"
900242742,FABILU S.A.S,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,2,551875000000,30,396059000000,155816000000,309962000000,71,101896437730,190567000000,17498562270,2023,"5,65"
900330752,FUNDACION FOSUNAB,Privada,NO,SANTANDER,68276,FLORIDABLANCA,1,1,408301000000,48,357700000000,50601220363,303637000000,72,26966212839,246900000000,29771077218,2023,"9,8"
800149026,INSTITUTO DE CANCEROLOGIA S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,1,296429000000,81,242430000000,53999004114,301393000000,73,47546887127,224038000000,29807551548,2023,"9,89"
901536799,EMPRESA SOCIAL DEL ESTADO UNIVERSITARIA DEL ATLANTICO,Pública,SI,ATLÁNTICO,08638,SABANALARGA,3,5,351686160586,63,136418669784,215267490802,300836250712,74,52253291992,184702246262,63880712458,2023,"21,23"
890911816,CLINICA MEDELLIN S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,3,431067000000,44,147671000000,283396000000,300125000000,75,64118137335,204206000000,31800381885,2023,"10,6"
830033206,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A. SIGLA: BODYTECH S.A.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,27,95,503868000000,34,589839000000,-85970510740,295155000000,76,130888706372,162117000000,2149293628,2023,"0,73"
890706833,HOSPITAL FEDERICO LLERAS ACOSTA E.S.E.,Pública,SI,TOLIMA,73001,IBAGUÉ,1,2,372456926316,55,109344761851,263112164465,294459954004,77,70763593868,212512163320,11184196816,2023,"3,8"
890905843,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,2,155020000000,146,52888251308,102132000000,294163000000,78,41979024040,248996000000,3187903150,2023,"1,08"
900261353,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,Privada,NO,ANTIOQUIA,05615,RIONEGRO,1,1,346700000000,65,161005000000,185695000000,292135000000,79,67695666772,211247000000,13192753031,2023,"4,52"
812007194,ONCOMEDICA S.A.S,Privada,NO,CÓRDOBA,23001,MONTERÍA,1,1,482274000000,40,203648000000,278626000000,289000000000,80,76640090024,160533000000,51826909976,2023,"17,93"
860002541,CLINICA DE MARLY S.A,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,5,576535000000,28,99815773759,476719000000,285534000000,81,65724233213,155129000000,64680766787,2023,"22,65"
800241602,FUNDACION COLOMBIANA DE CANCEROLOGIA CLINICA VIDA,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,2,6,214062000000,106,145136000000,68926174679,285106000000,82,41974714522,243111000000,20657278,2023,"0,01"
890301430,CLINICA NUESTRA SEÑORA DE LOS REMEDIOS,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,2,410926000000,46,56937553918,353988000000,283875000000,83,54368197123,178851000000,50655802877,2023,"17,84"
805027743,DUMIAN MÉDICAL S.A.S,Privada,NO,BOLÍVAR,13001,CARTAGENA,10,18,621552000000,24,261439000000,360113000000,281024000000,84,32374202952,236520000000,12129585636,2023,"4,32"
860013779,ASOCIACIÓN PROFAMILIA,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,40,51,176070000000,125,61481436223,114588000000,278947000000,85,116741238353,153807000000,8398761647,2023,"3,01"
900123436,SIES SALUD MEDELLIN,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,23,26,139412000000,164,74831723206,64579846919,271333000000,86,44996302989,203668000000,22668461344,2023,"8,35"
890904646,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",Pública,SI,ANTIOQUIA,05001,MEDELLÍN,1,1,492745981089,36,155620437944,337125543145,269123854438,87,92139765766,306215472078,-129231383406,2023,"-48,02"
830002272,SERVIMED INSTITUCION PRESTADORA DE SERVICIOS DE SALUD S.A. SERVIMED I.P.S. S.A.,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,7,101491000000,225,59257064433,42233490534,265125000000,88,34061633719,213777000000,17285953714,2023,"6,52"
900581702,CLINICA DE URGENCIAS BUCARAMANGA S.A.S,Privada,NO,SANTANDER,68001,BUCARAMANGA,2,3,151048000000,149,66414393704,84633178027,263593000000,89,27964018765,219247000000,16381724882,2023,"6,21"
900248882,CLINICA PORTOAZUL S.A SIGLA CPA,Privada,NO,ATLÁNTICO,08573,PUERTO COLOMBIA,1,1,347106000000,64,206822000000,140284000000,262691000000,90,62544719691,202998000000,-2852275483,2023,"-1,09"
891200528,E.S.E. HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,Pública,SI,NARIÑO,52001,PASTO,1,1,280995236039,85,76536172329,204459063710,257596611850,91,44816487916,177513825050,35266298884,2023,"13,69"
824001041,CLINICA MEDICOS S.A.,Privada,NO,CESAR,20001,VALLEDUPAR,1,2,491435000000,37,170547000000,320888000000,242633000000,92,52230663769,149710000000,40691513927,2023,"16,77"
800087565,SYNLAB COLOMBIA S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,39,82,150272000000,150,85300142458,64972252723,238691000000,93,103514288016,135358000000,-181288016,2023,"-0,08"
860015888,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,2,176728000000,124,157237000000,19491256895,237807000000,94,32156686093,229350000000,-23699369831,2023,"-9,97"
800231235,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN JORGE,Pública,SI,RISARALDA,66001,PEREIRA,1,1,242050528142,95,91612970991,150437557151,237206672226,95,89617559015,158267769121,-10678655910,2023,"-4,5"
800194798,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,Privada,NO,ATLÁNTICO,08001,BARRANQUILLA,2,2,257822000000,91,172752000000,85070145670,235885000000,96,55918173334,158239000000,21727576464,2023,"9,21"
890303208,CAJA DE COMPENSACIÓN FAMILIAR DEL VALLE DEL CAUCA - COMFAMILIAR ANDI,Privada,NO,VALLE DEL CAUCA,76001,CALI,6,15,320395000000,72,155424000000,164970000000,235675000000,97,115752670317,149230000000,-29307499289,2023,"-12,4355571397051"
800250634,MEDICINA INTEGRAL S.A.,Privada,NO,CÓRDOBA,23001,MONTERÍA,5,9,165358000000,136,80416566865,84941521649,224952000000,98,31176360683,177892000000,15883669421,2023,"7,06"
890906347,E.S.E. HOSPITAL MANUEL URIBE ANGEL,Pública,SI,ANTIOQUIA,05266,ENVIGADO,1,5,219700765938,101,74595993203,145104772735,220693277467,99,35322702559,196591080557,-11220505649,2023,"-5,08"
805023423,SOCIEDAD N.S.D.R. S.A.S,Privada,NO,VALLE DEL CAUCA,76001,CALI,3,3,229868000000,100,147403000000,82465338522,220444000000,100,38849139945,181562000000,33393921,2023,"0,02"
900951033,FABISALUD IPS SAS,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,2,309238000000,76,200520000000,108718000000,215785000000,101,60214016987,137724000000,17847098024,2023,"8,27"
891200209,FUNDACION HOSPITAL SAN PEDRO,Privada,NO,NARIÑO,52001,PASTO,1,1,318982000000,74,77981923160,241000000000,210796000000,102,70211175311,137371000000,3213691153,2023,"1,52"
800129856,CLINICA DE LA COSTA S.A.S.,Privada,NO,ATLÁNTICO,08001,BARRANQUILLA,3,8,216567000000,105,100962000000,115605000000,209590000000,103,70305703680,123117000000,16167679845,2023,"7,71"
800066001,CENTRO MEDICO OFTALMOLOGICO Y LABORATORIO CLINICO ANDRADE NARVAEZ COLCAN S.A.S.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,22,34,232628000000,99,38812230084,193815000000,208066000000,104,69768817701,114185000000,24111979382,2023,"11,59"
901352353,CLINICA LA SAGRADA FAMILIA SAS,Privada,NO,QUINDÍO,63001,ARMENIA,1,1,325396000000,71,17806194849,307590000000,207786000000,105,10124000000,83732690720,113930000000,2023,"54,83"
890982608,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,3,203745000000,111,36692508838,167053000000,206154000000,106,18553985261,184735000000,2864673696,2023,"1,39"
813011577,CLINICA UROS S.A.S - TORRE A,Privada,NO,HUILA,41001,NEIVA,1,11,319866000000,73,172522000000,147344000000,204358000000,107,56112205992,141118000000,7127782184,2023,"3,49"
891501676,"HOSPITAL SUSANA LOPEZ DE VALENCIA, EMPRESA SOCIAL DEL ESTADO",Pública,SI,CAUCA,19001,POPAYÁN,1,2,203552040164,112,28491836702,175060203461,201963537631,108,51066027784,119689093134,31208416713,2023,"15,45"
900149596,ASISFARMA S.A.S,Privada,NO,ATLÁNTICO,08001,BARRANQUILLA,4,5,143709000000,160,110014000000,33695849501,200205000000,109,22979305446,172161000000,5064551384,2023,"2,53"
900784482,IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS),Privada,NO,AMAZONAS,91001,LETICIA,12,16,77838493892,287,34387517144,43450976748,197762000000,110,21636937256,146847000000,29278041828,2023,"14,8"
900578105,CORPORACIÓN SALUD UN,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,1,100906000000,227,59906955384,40999186571,197603000000,111,31199220005,155643000000,10760128111,2023,"5,45"
900891513,CLINICA NUEVA RAFAEL URIBE URIBE SAS,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,1,95031447000,237,73689781000,21341666000,197173000000,112,123375814000,64603042000,9194186000,2023,"4,66"
900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,Privada,NO,ANTIOQUIA,05045,APARTADÓ,1,1,208993000000,108,52594507257,156398000000,195708000000,113,43566433816,121307000000,30833922696,2023,"15,76"
901002487,FUNDACION CTIC - CENTRO DE TRATAMIENTO E INVESTIGACION SOBRE CANCER LUIS CARLOS SARMIENTO ANGULO,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,1,950481000000,9,918747000000,31733505171,193052000000,114,53422635593,142951000000,-3322298184,2023,"-1,72"
800197601,ANGIOGRAFIA DE OCCIDENTE S.A.,Privada,NO,VALLE DEL CAUCA,76001,CALI,2,10,307712000000,77,83420493006,224292000000,191280000000,115,30749412875,108123000000,52407186155,2023,"27,4"
811046900,CLINICA CARDIO VID,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,2,109936000000,210,50680853992,59255516152,191182000000,116,27158885498,162564000000,1459243768,2023,"0,76"
800044402,INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,2,181449000000,121,120776000000,60673622756,189948000000,117,36847705155,156671000000,-3571315178,2023,"-1,88"
800048954,CLINICA VERSALLES S.A.,Privada,NO,VALLE DEL CAUCA,76001,CALI,1,4,146521000000,155,92273539941,54247925704,188640000000,118,48566126150,132138000000,7935655285,2023,"4,21"
891480000,CAJA DE COMPENSACION FAMILIAR DE RISARALDA COMFAMILIAR RISARALDA,Privada,NO,RISARALDA,66001,PEREIRA,4,8,160073000000,143,72060200172,88013190871,186411000000,119,43278639760,144981000000,-1848632486,2023,"-0,991697102638793"
900980728,INSTITUCIÓN PRESTADORA DE SERVICIOS DE SALUD CUIDADO SEGURO EN CASA SA,Privada,NO,ATLÁNTICO,08758,SOLEDAD,8,8,134928000000,172,122548000000,12380526067,184463000000,120,42523624926,134059000000,7880526067,2023,"4,27"
